cid,gender,age,postalcode
137886991,0,61,37159
156458978,1,37,37130
143048874,1,46,37153
133682889,0,71,37147
125781285,1,36,37150
166341156,1,23,39232
117775824,0,61,37159
158246157,0,26,37135
111049087,0,69,37130
144585535,0,34,37140
122455719,0,52,37150
120726171,0,44,37159
167769339,0,48,37135
132906521,0,69,37146
153125744,1,61,37140
153838387,1,34,37165
147437809,1,41,37139
123026091,0,40,37141
177035549,1,27,37156
131562365,0,61,37164
102613212,0,57,37141
145884672,1,63,37148
120213360,0,68,37162
118017812,0,59,37148
153302757,1,32,37154
160404530,0,28,37131
113089353,0,55,37133
171223604,1,34,37130
122475246,1,42,37134
136268314,0,41,37140
139271315,0,66,37156
113604276,1,59,37159
135425402,0,84,37132
127900951,0,51,37140
126124280,1,45,37146
171834567,1,47,25220
125545524,0,38,37132
114254724,0,50,37151
130380198,1,74,37134
157411653,1,29,37130
133685281,0,60,37140
177686937,1,25,37151
103206010,0,61,37146
163918972,0,22,37151
162151765,1,34,37132
113776438,1,62,37141
165209164,1,43,37149
117189167,0,53,37149
133389618,0,61,37140
124980243,0,80,37130
147389448,0,49,37141
156229973,0,29,21120
142574432,0,34,37161
121163869,0,48,37156
109141696,0,53,37146
164373994,1,20,37162
157439349,0,86,37148
123592867,0,75,37191
136496733,0,58,37160
142009869,0,64,37146
107201294,1,59,37158
139700190,0,42,37136
112741649,1,49,37136
153651806,1,64,37147
106082786,0,59,37156
143490977,1,52,37148
121099633,0,75,37192
104342119,1,52,37147
122015159,1,86,37134
125568294,1,43,37136
130320228,1,87,37139
128406510,0,37,37134
140525212,1,70,37154
145115681,0,69,37153
126929381,1,60,37156
104138030,0,62,37136
177518900,0,20,37165
106652422,0,77,37143
148060485,1,30,37152
147057185,0,75,37132
165209966,1,65,37139
151336228,0,48,37148
112887723,0,58,37191
135190000,0,37,37136
149539909,1,32,37135
102476446,0,84,37164
135873189,1,71,37156
125459255,1,38,37147
144621061,0,41,37147
102940938,1,81,37149
129499372,1,83,37158
171100357,0,26,37148
154128080,0,42,37138
150398286,1,46,37154
142650604,1,55,37138
125169755,1,85,37149
177410304,1,25,37164
131534504,1,35,37134
108138571,0,87,37133
139067507,0,49,37165
169925624,1,69,37163
152186979,1,32,37150
132903865,0,58,37163
170192842,1,28,37138
131122425,0,35,37145
114744427,1,76,37161
102671145,0,61,37146
138575560,0,40,37134
111881521,0,58,37158
166443168,0,59,37140
169269486,1,22,37140
147677141,0,35,37142
102171146,0,52,37143
125717883,0,64,37157
146057981,0,32,37135
131051335,0,47,37163
115789166,1,53,37159
145778535,0,76,37151
136889474,1,76,37153
152972427,0,46,37151
153514040,1,30,37159
125215048,0,49,37143
113358294,0,73,37130
163469835,1,26,37132
121589823,0,77,37151
172035148,0,25,37140
132651274,1,57,37146
145576228,1,72,37134
142991412,1,86,37156
151267821,0,31,37163
156517559,1,36,37159
126268079,0,61,37144
127121597,0,46,37165
157468298,1,23,37151
150378900,1,32,37136
137351143,0,36,37151
121489412,0,74,37143
138601686,0,36,37191
116174005,1,46,37154
123985040,0,53,37163
155436503,1,44,37135
122208762,1,39,37148
143817194,1,59,37165
161000311,0,26,37146
148570741,0,32,37192
110912895,1,57,37159
103075205,0,68,37157
158743582,0,40,37145
168656254,1,23,37137
103698965,0,66,37156
168987328,1,28,37130
134837409,0,45,37159
154497879,1,33,37134
144657574,0,32,37133
108907280,0,98,37159
131177882,0,84,37159
107358904,0,57,37150
132403188,0,83,37146
137863701,1,45,37141
158017417,0,31,37140
112279335,0,75,37165
145201562,0,43,37164
156893629,0,35,37164
157051063,1,43,37144
162671821,0,27,37163
103453668,0,70,37160
105323166,0,72,37163
138146609,0,78,37133
151385845,0,37,37147
150069135,0,30,37136
114855306,1,68,37132
135994564,1,70,37192
146088405,1,33,37152
101456605,0,47,37161
124093849,1,56,37157
157040733,1,26,37164
112526297,0,68,37165
162967641,0,25,37139
144413225,0,33,37130
120519657,0,42,37151
121361150,1,43,37133
122243173,1,41,37165
132303537,1,73,37132
146268544,0,63,37150
125502616,1,85,37146
127051291,1,42,37149
145038633,1,69,37132
146353669,1,33,37132
106347718,0,75,37153
172283261,1,33,37140
170440540,1,38,37165
118892214,0,42,37149
177493839,1,30,37135
131541905,0,52,37144
118664985,0,65,37165
143423300,1,46,37151
145844808,0,58,37164
148038333,0,32,37146
167108892,0,25,37146
115660450,0,45,37133
125585413,0,39,37136
147317003,0,78,37141
162328586,1,40,37151
170271638,1,24,37192
118264927,0,48,37153
110308863,0,88,37134
159075323,1,38,37142
120683116,1,57,37136
122243545,0,45,37153
138998976,0,73,37148
161023147,1,49,37161
103399540,0,54,37150
138187314,0,68,37141
167588507,1,23,37154
164354565,1,25,37151
120918999,1,87,37136
120759890,0,43,37147
134107407,0,54,37161
161814571,1,33,37191
154152080,1,34,37139
136211273,0,97,37161
112412029,0,84,37191
103032495,0,47,37160
157371286,1,25,37148
161895231,0,27,37131
156238338,0,26,37146
106600976,1,78,37146
170112188,1,22,37140
159008490,1,31,37160
142796449,1,43,37144
145320585,1,35,37191
153930953,1,29,37154
152515664,0,42,37161
161740815,0,72,37161
125036055,0,49,37159
106777320,0,70,37134
130764508,0,42,37160
148796492,0,31,37135
153544837,1,50,37140
156065749,0,31,37136
156719941,0,25,37158
122687238,1,48,37147
144848157,1,53,37156
140450950,0,65,37139
141479750,1,67,37159
132103309,0,45,37191
152917052,1,35,37145
123944078,1,67,37160
161673784,1,26,37148
164473878,1,55,37150
139015225,1,36,37160
113370654,0,46,37148
152896660,0,30,37153
133930033,0,61,37146
129580634,0,37,37143
121833924,1,58,37163
107212689,0,51,37151
145303178,0,82,37150
120934864,0,41,37144
177540522,0,21,37164
150238912,1,34,37191
125430010,1,46,37144
149194953,1,31,37147
156553290,0,28,37157
152123948,0,28,37151
126448207,0,42,37149
114797144,1,56,37143
141110394,0,51,37149
160679254,0,24,37148
121099576,1,43,37146
155045851,1,37,37164
144896677,1,39,37134
150475473,0,30,37144
151349882,1,29,37154
118731678,0,43,37151
141760480,0,44,37147
123335095,0,44,37133
167311481,0,23,37136
141311232,0,61,37147
115992686,1,74,37151
137885111,0,49,37145
113331030,1,49,37133
170367618,1,25,37159
127470424,0,45,37154
121676258,1,48,37151
102257177,0,68,37151
103341558,0,70,37130
102304499,0,77,37135
103429577,0,57,37131
167853489,0,24,37153
111212891,1,65,37154
147767124,0,33,37135
155654016,0,72,37144
110951422,1,73,37191
143383395,1,52,37139
133437376,0,79,37164
133900266,1,70,37139
136301933,1,71,37138
133885698,0,74,37158
133765528,0,71,37153
177838150,0,18,37132
156228190,0,31,37131
125367458,0,41,37153
156450933,0,27,37145
103478591,0,46,37159
155783235,1,50,37157
177127067,0,69,37131
126930626,0,58,37191
133043538,0,58,37139
103219564,0,58,37160
152153432,1,31,37136
107947261,0,60,37160
103314291,0,54,37163
165585547,1,40,37142
137064894,1,88,37143
108815712,1,60,37156
116188740,0,59,37147
136629129,1,46,37136
143268547,0,40,37134
149338146,0,32,37131
157848614,0,37,37164
143858735,1,70,37138
130033698,0,36,37191
153206908,1,30,37134
158301251,0,26,37149
115888265,1,49,37135
127386093,0,58,37150
169464872,0,23,37131
102208823,0,52,37157
139223663,1,53,37146
162498265,0,23,37136
111948865,1,76,37159
155404759,1,70,37157
148496080,0,29,37145
161367611,0,39,37141
166721604,1,24,25278
127907623,0,43,37159
126596750,0,76,37135
126835851,1,54,37147
147611486,0,32,37147
170970726,0,22,37154
149490105,0,36,37145
160499463,1,22,37164
168490414,0,21,37153
138705959,0,33,37144
118430718,0,88,37192
144896669,0,37,37134
122671581,0,55,37151
108638552,1,62,37151
119335867,0,76,37191
176839571,0,43,37140
164020348,0,54,37161
150737418,1,56,37147
141502244,0,36,37140
170781101,0,58,37158
141562959,0,45,37156
111056380,0,60,37165
172335308,0,20,37150
177168762,0,19,37148
124650838,0,64,37153
117775816,1,64,37159
102483501,0,74,37160
102251065,0,84,37164
153820098,1,32,37131
120146651,0,54,37130
171387797,1,20,37155
158365725,1,47,37146
162672694,1,29,37158
149862798,0,31,37132
135599761,0,50,37158
110494780,0,63,37148
144822482,0,58,37149
102696160,0,48,37147
113567233,1,57,37143
148651210,0,32,37147
127220168,1,62,37156
154915367,0,26,37146
122271439,0,69,37148
121554679,1,58,37147
103421558,0,74,37163
171224693,0,24,37135
147605960,1,69,37140
117359580,0,53,37130
106636930,0,73,37148
136215604,0,78,37161
156859052,0,47,37133
103386769,0,79,37146
108796185,0,58,37162
103348480,0,60,37144
137669536,1,55,37132
122602138,0,48,37149
164276908,1,26,37131
138356836,0,71,37151
157688367,0,26,37165
106082836,1,72,37148
139699672,0,40,37164
177669240,0,21,37137
144654703,0,34,37156
103297528,0,83,37143
163798267,0,22,37156
142540912,1,40,37133
155044200,1,67,37163
154936586,1,37,37160
146342341,1,54,37138
149169575,1,39,37133
153746317,0,36,37146
148191926,0,31,37136
145056817,1,47,37191
134436765,1,60,37154
124902710,0,62,37165
135036787,0,65,37154
123574534,1,83,37160
141196336,0,35,37142
140386112,0,51,37150
119621406,0,43,37133
160342589,1,44,37147
157379644,0,26,37159
141229501,0,72,37162
150975771,0,34,37191
119571453,1,61,37154
105315370,0,47,37149
159735702,0,28,37152
157754210,1,28,37158
161488514,0,23,37153
134192185,0,74,37131
158308858,1,48,37138
168748120,1,26,37146
114473217,0,49,37143
154095772,0,36,37165
103257160,0,60,37147
129808308,0,44,37163
131531799,1,60,37156
150378882,0,30,37146
151110144,0,42,37140
147815285,1,39,37156
112868856,0,66,37159
111333870,0,62,37151
108699744,0,75,37147
136520227,0,46,37151
133913047,0,85,37160
104984702,0,72,37135
123743024,0,51,37134
165711689,0,20,37150
139410872,0,37,37142
114855298,0,63,37132
166080712,0,79,37148
159313633,0,25,37143
143341180,0,60,37146
153804983,0,30,37149
161925763,0,26,37150
166565572,0,56,37160
103448642,0,79,37134
142446657,0,33,37153
102483483,1,75,37150
133391030,0,43,37164
121273303,0,74,37147
166095085,1,23,37156
110574935,0,58,37149
110482941,1,63,37135
146206692,1,37,37191
111018346,1,57,37152
171897086,1,33,37153
115280587,1,72,37151
132934919,1,78,37146
140304891,1,48,37135
111857735,1,76,37148
125622258,1,64,37130
104939409,0,68,37147
123612748,1,55,37147
124850693,0,65,37164
110068641,0,44,37159
162473143,0,37,37144
169453768,0,29,37139
140360430,0,52,37163
158093790,0,41,37156
151434213,0,25,37164
159342369,0,26,37159
110299369,0,78,37135
140065261,1,84,37146
124089451,0,74,37150
159787969,1,33,37161
157418840,1,33,37133
149245953,1,49,37151
115601866,0,68,37132
110047479,0,57,37146
117182898,1,45,37146
168730770,0,23,37192
133050707,0,60,37165
136870325,0,36,37147
130189310,0,40,37151
155082654,1,37,37161
122328255,0,40,37133
140856007,0,62,37149
159008465,0,32,37161
131293466,1,40,37146
128048378,0,43,37131
140077495,1,67,37163
177041182,0,20,37159
151208972,1,31,37147
148263238,1,43,37134
123579897,0,44,37157
124941890,1,50,37149
130377048,0,68,37161
166329062,1,86,37158
159910909,1,26,37144
115979478,0,51,37143
104482715,0,56,37149
133240079,0,45,37150
158900489,1,38,37146
114604540,0,48,37153
116561556,1,44,37144
154359805,0,28,37151
102320404,0,57,37131
150398279,0,48,37154
164391981,1,68,37158
144206069,0,50,37147
139199847,1,73,37135
156655921,1,30,37134
102376612,1,67,37148
158908144,1,39,37146
165630442,1,24,37130
145196993,1,39,37147
161911087,0,25,37156
105317316,0,64,37159
135995951,1,64,37136
127386085,1,55,37150
130304967,0,78,37141
150233105,0,53,37148
164301055,0,30,37140
133383158,0,57,37151
116222028,1,45,37134
110861473,0,66,37150
143105369,0,42,37159
113364946,1,52,37165
121060082,0,70,37165
158389295,1,38,37156
139339469,1,72,37157
130189938,0,38,37156
126928786,1,84,37161
118261123,0,52,37148
152947296,0,38,37160
120722764,0,42,37150
150564557,1,32,73733
103868049,0,64,37159
114351819,0,59,37134
108970014,0,81,37159
166877721,1,28,37149
119594728,1,47,37148
165439151,0,23,37140
158352559,0,31,37143
131953829,0,72,37163
110299361,1,85,37135
124048027,0,94,37148
159585487,0,36,37151
164807530,0,74,37150
144788337,0,71,37149
118057165,0,55,37146
135616638,1,41,37157
176175627,0,24,37192
112307641,0,47,37136
102597803,1,77,37157
138665468,0,80,37150
128487090,1,65,37153
138704506,1,45,59331
130377153,1,73,37130
160076146,1,41,37163
125596470,0,39,37141
169689915,1,69,37138
133114173,1,39,37143
114116990,0,80,37148
145463336,1,38,37142
108534256,0,68,37157
141363936,0,38,37145
131665597,1,59,37144
122734759,1,42,37135
144201070,0,73,37136
120167522,0,41,37157
129933247,0,37,37164
119906041,1,44,37136
144456596,0,38,37132
143892908,0,33,37155
111698478,1,78,37135
153448526,0,29,37157
160932861,1,29,37161
137691556,1,71,37143
127758208,0,37,37140
123335928,0,82,37130
127080463,1,57,37146
138366976,0,38,37145
160672176,1,69,37191
127220556,1,50,37138
161866951,1,21,37151
135593358,1,38,37157
156358550,1,46,37161
128671533,0,37,37147
145654744,1,46,37156
134795641,1,60,37150
142573097,0,40,37165
159246520,1,30,37156
110482949,0,62,37135
171841960,1,33,37157
134038068,1,58,37146
105767140,0,72,37149
133580448,0,83,37159
111713550,0,46,37146
146298468,0,32,37132
131101059,0,79,37145
177360582,1,20,37164
121099651,1,80,37192
134538502,0,66,37164
171677148,0,66,37149
146135933,0,50,37131
172156316,0,28,37140
131555285,1,62,37138
157413914,0,25,37148
136502829,0,37,37151
113214539,1,58,37136
149370925,1,42,37138
146258975,1,36,37191
158412262,0,33,37151
121933007,0,63,37159
134107589,0,55,37139
146725808,0,50,37136
102177507,1,71,37159
125714890,0,52,37139
145706239,0,35,37132
103432992,0,79,37151
135989465,0,70,37150
131562472,1,45,37161
125725259,1,81,37153
115751530,0,42,37139
152158688,0,45,37133
157799239,1,77,37162
131052143,1,52,37164
159395161,1,30,37160
144925864,1,48,37134
122976987,1,77,37130
107825374,0,51,37159
136024767,1,65,37134
135026450,1,46,37146
116196196,1,47,37165
138574034,0,48,37140
129167080,1,53,37165
108714115,1,61,37162
149715343,0,36,37135
131504030,0,76,37147
166644947,0,23,37159
148141384,1,36,37134
146043410,1,45,37134
103528997,1,87,37163
176236635,0,23,37159
147679517,1,37,37133
164022542,0,80,37157
153131205,0,37,37142
160397667,0,37,37165
107897357,0,64,37140
110229936,0,84,37160
112436802,1,54,37130
150612397,0,31,37142
126369140,0,68,37151
143023166,0,38,37145
103860739,0,52,37144
125629057,1,47,37153
167651396,0,21,37164
145709086,1,80,37192
120010269,1,61,37146
140326728,0,60,37146
152845368,0,30,37164
128210086,1,49,37162
148849087,1,38,37151
130599318,1,44,37138
168711439,1,26,37163
161989412,1,72,37158
141159047,0,37,37191
119550134,1,43,37165
143991362,1,60,37153
127674983,0,57,37141
159235216,1,36,37135
123443904,1,48,37149
167027201,0,24,37148
143476207,0,34,37148
140822009,0,36,37139
107512484,0,83,37147
115973728,0,73,37132
160833770,0,32,37147
168989829,0,66,37138
103659248,1,83,37158
147161144,0,53,37141
130016198,0,48,37191
131491210,0,66,37160
148595613,0,32,37150
120875340,0,61,37138
145203378,0,70,37147
126263333,1,39,37131
168748803,1,42,37132
143766334,0,46,37138
147835549,0,33,37160
123081473,0,47,37192
146456076,1,50,37160
113164768,0,69,37165
122243537,1,47,37153
113495849,0,45,37154
171659187,1,26,37164
116085465,0,47,37191
142644112,0,39,37165
171149213,1,23,37157
151727757,0,34,37160
170729403,0,25,37162
131021552,0,45,37159
125236118,0,38,37133
145996048,1,39,37130
125366105,1,55,37150
120275648,1,49,37146
110023495,0,50,37148
107366874,1,74,37147
117182906,0,44,37146
164506479,1,34,37164
128777861,0,83,37150
134405580,0,41,37139
154907546,1,28,37150
162231889,0,29,37162
102779849,0,68,37165
122240220,0,42,37157
160743365,1,35,37191
116825079,0,59,37151
123095358,0,52,37141
141099233,0,42,37191
138426209,1,37,37141
145136882,1,35,37138
170144191,1,26,37153
150214270,1,32,37146
147100845,0,33,37151
134445542,1,74,37158
112271514,1,71,37133
139731243,0,87,37163
112471916,1,72,37134
156229196,1,36,37162
159180198,1,28,37148
114424335,1,81,37149
113435324,1,72,37153
131686354,1,64,37148
120010987,1,47,37131
103221059,0,73,37151
122717094,0,40,37146
123526154,0,53,37149
113350054,1,70,37147
170773461,1,52,37150
133114222,0,61,37139
142668929,0,64,37163
115877400,0,60,37192
102895595,0,68,37151
118695187,1,44,37155
138157242,1,35,37135
170904990,0,40,37150
121033939,0,50,37153
171741071,1,37,37156
150428208,1,60,37140
137136100,1,76,37160
131681487,1,76,37150
144116299,0,33,37147
124314057,0,53,37140
124143727,0,42,37191
122269881,0,49,37134
158900062,0,35,37159
166314773,1,41,37161
152938899,0,29,37151
152937462,1,29,37191
111057922,0,67,37151
115877697,0,56,37154
139989867,1,72,37153
130668990,0,48,37158
114405277,1,59,37148
123402934,1,73,37144
143051127,0,40,37143
137000059,0,35,37160
144684362,0,58,37162
159517762,1,70,37150
145502820,1,37,37141
150264538,1,52,37143
124974569,0,59,37151
124151391,0,49,37165
145299136,0,31,37142
156106832,1,84,37143
109548932,0,43,37165
